smiles,logSolubility,split
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,train
CCCOC(=O)CC,-0.82,train
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68,train
Nc1ccc(O)cc1,-0.8,train
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81,test
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931,test
CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06,train
NC(=O)c1cnccn1,-0.667,test
CCC(Br)(CC)C(=O)NC(N)=O,-2.68,train
Clc1ccccc1c2ccccc2Cl ,-5.27,train
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-3.38,test
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46,train
CC1(C)C2CCC1(C)C(=O)C2,-1.96,val
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,train
CCCCC(=O)OCC,-2.25,train
CC(C)CCOC(=O)C,-1.92,train
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886,train
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,train
CCCBr,-1.73,train
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003,test
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,train
Cc1ncnc2nccnc12,-0.466,train
NC(=S)N,0.32,train
Cc1ccc(C)cc1,-2.77,train
CCc1ccccc1CC,-3.28,train
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,train
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876,test
CCCN(=O)=O,-0.8,train
CC(C)C1CCC(C)CC1=O,-2.35,val
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36,train
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48,train
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46,val
c1ccc2c(c1)c3cccc4cccc2c34,-6.0,test
CCCOC(C)C,-1.34,train
Cc1cc(C)c2ccccc2c1,-4.29,train
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07,test
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64,train
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,train
C1OC1c2ccccc2 ,-1.6,test
CC(C)c1ccccc1,-3.27,train
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45,train
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43,test
C1OC(O)C(O)C(O)C1O,0.39,train
ClCCl,-0.63,train
CCc1cccc2ccccc12,-4.17,train
COC=O,0.58,train
Oc1ccccc1N(=O)=O,-1.74,train
Cc1c[nH]c(=O)[nH]c1=O ,-1.506,train
CC(C)C,-2.55,train
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23,test
Oc1c(I)cc(C#N)cc1I,-3.61,train
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7,train
CCCCC,-3.18,train
c1ccccc1O,0.0,train
Nc3ccc2cc1ccccc1cc2c3 ,-5.17,train
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523,train
c1ccc2cnccc2c1,-1.45,test
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432,train
CCCCCCc1ccccc1,-5.21,train
Clc1ccccc1c2ccccc2,-4.54,train
CCCC(=C)C,-3.03,train
CC(C)C(C)C(C)C,-4.8,train
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,train
Oc1cccc(c1)N(=O)=O,-1.01,train
CCCCCCCCC=C,-5.51,train
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6,train
CCCCc1c(C)nc(nc1O)N(C)C ,-2.24,train
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001,train
c1ccncc1,0.76,train
CCCCCCCBr,-4.43,train
Cc1ccncc1C,0.36,train
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43,train
CCSCc1ccccc1OC(=O)NC ,-2.09,train
CCOC(=O)CC(=O)OCC,-0.82,train
CC1=CCC(CC1)C(C)=C,-4.26,train
C1Cc2ccccc2C1,-3.04,test
CC(C)(C)c1ccc(O)cc1,-2.41,train
O=C2NC(=O)C1(CC1)C(=O)N2 ,-1.886,test
Clc1cccc(I)c1,-3.55,train
Brc1cccc2ccccc12,-4.35,train
CC/C=C/C,-2.54,train
Cc1cccc(C)n1,0.45,train
ClC=C(Cl)Cl,-1.96,train
Nc1cccc2ccccc12,-1.92,train
Cc1cccc(C)c1,-2.82,train
Oc2ncc1nccnc1n2,-1.947,train
CO,1.57,train
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,train
CCC(=O)C,0.52,train
Fc1c[nH]c(=O)[nH]c1=O ,-1.077,train
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95,test
Oc1cccc(O)c1,0.81,train
CCCCCCO,-1.24,train
CCCCCCl,-2.73,train
C=CC=C,-1.87,train
CCCOC(=O)C,-0.72,train
Oc2ccc1CCCCc1c2 ,-1.99,val
NC(=O)CCl ,-0.02,train
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,train
Cc1ccc(Cl)cc1,-3.08,train
CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253,test
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01,test
CCCCCC=O,-1.3,train
CCCCOC(=O)c1ccc(N)cc1,-3.082,train
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043,val
CC(C)=CCC/C(C)=C\CO,-2.46,train
Clc1ccc(cc1)c2ccccc2Cl ,-5.28,train
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523,train
CCN(=O)=O,-0.22,train
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124,train
Clc1ccc(Cl)c(Cl)c1Cl,-4.57,train
CCCC(C)(COC(N)=O)COC(N)=O ,-1.807,train
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65,test
CI,-1.0,train
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13,test
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301,train
CC1=CC(=O)CC(C)(C)C1 ,-1.06,train
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39,train
CCCCC(=O)CCCC,-2.58,train
CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.337,test
CCC(C)CC,-3.68,train
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6,test
Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925,test
ClCC#N,-0.092,train
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001,train
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66,train
c1ccnnc1,1.1,val
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,train
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32,test
Nc1ccccc1O,-0.72,train
CCCCCCCCC(=O)OCC,-3.8,train
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601,train
CNC(=O)Oc1ccccc1OC(C)C,-2.05,train
CCC(C)Cl,-1.96,train
Oc1ccc2ccccc2c1,-2.28,train
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696000000000001,val
CCCCC#C,-2.36,train
CCCCCCCC#C,-4.24,train
Cc1ccccc1Cl,-3.52,train
CC(C)OC(C)C,-1.1,train
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094,val
CNN,1.34,train
CC#C,-0.41,train
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,train
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408,train
C=CC=O,0.57,train
O=c1[nH]cnc2nc[nH]c12 ,-2.296,test
Oc2ccc1ncccc1c2 ,-2.16,train
Fc1ccccc1,-1.8,train
CCCCl,-1.47,train
CCOC(=O)C,-0.04,train
CCCC(C)(C)C,-4.36,train
Cc1cc(C)c(C)c(C)c1C,-4.0,train
CC12CCC(CC1)C(C)(C)O2 ,-1.64,val
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,train
Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56,train
Cc1cccnc1C,0.38,train
CC(=C)C1CC=C(C)C(=O)C1,-2.06,train
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001,train
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571,test
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,test
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82,train
c1c(Br)ccc2ccccc12 ,-4.4,train
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,train
COc2cnc1ncncc1n2,-1.139,train
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19,test
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658,val
CC(=C)C=C,-2.03,train
CC(C)=CCCC(O)(C)C=C,-1.99,train
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,train
OC1CCCCC1,-0.44,train
O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16,train
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16,val
OCC(O)C(O)C(O)C(O)CO ,0.06,train
Cc1ccc(cc1)c2ccccc2,-4.62,train
CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,train
NC(=S)Nc1ccccc1,-1.77,train
CCCC(=O)CCC,-1.3,train
CC(=O)C(C)(C)C,-0.72,train
Oc1ccc(Cl)cc1,-0.7,train
O=C1CCCCC1,-0.6,val
Cc1cccc(N)c1,-0.85,train
ClC(Cl)(Cl)C#N,-2.168,train
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046,train
CCCCCCCCC(=O)C,-3.3,train
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,train
CCOC(=O)c1ccc(N)cc1,-2.616,train
Clc1ccc(Cl)c(Cl)c1,-3.59,train
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09,test
Oc1ccccc1O,0.62,train
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62,train
CSC,-0.45,train
Cc1ccccc1Br,-2.23,train
CCOC(=O)N,0.85,train
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35,val
CC(C)C(O)C(C)C,-1.22,train
c1ccc2ccccc2c1,-3.6,train
CCNc1ccccc1,-1.7,train
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097,train
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02,test
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,train
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89,train
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28,val
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678,train
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,train
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37,test
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-4.13,train
CCCCBr,-2.37,train
Brc1cc(Br)c(Br)cc1Br,-6.98,train
CC(C)CC(=O)C,-0.74,train
CCSC(=O)N(CC)C1CCCCC1 ,-3.4,train
COc1ccc(Cl)cc1,-2.78,train
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001,train
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016,train
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04,train
Ic1cccc2ccccc12,-4.55,train
OCC(O)C(O)C(O)C(O)CO,1.09,train
CCS,-0.6,train
ClCC(Cl)Cl,-1.48,train
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09,test
NC(=O)c1ccccc1O,-1.82,train
Cc1ccccc1N(=O)=O,-2.33,train
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766,train
CCc1ccccc1C,-3.21,train
CCCCCCCCl,-4.0,train
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4,train
C(Cc1ccccc1)c2ccccc2,-4.62,train
ClC(Cl)C(Cl)Cl,-1.74,train
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-5.153,train
Cc1ccc2c(ccc3ccccc32)c1,-5.84,train
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.4,train
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,-4.02,train
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523,train
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282,test
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005,test
COc1ccc(cc1)N(=O)=O,-2.41,train
CCCCCCCl,-3.12,train
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16,train
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41,test
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,train
CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.324,train
CC(Cl)Cl,-1.29,train
Nc1ccc(cc1)S(N)(=O)=O,-1.34,train
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49,train
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,train
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,train
Clc1cccc(Cl)c1Cl,-4.0,train
ClC(Cl)(Cl)Cl,-2.31,train
O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2,train
OC1CCCCCCC1,-1.29,train
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999,train
CCOc1ccc(NC(N)=O)cc1,-2.17,train
C/C1CCC(\C)CC1,-4.47,train
c1cnc2c(c1)ccc3ncccc23,-2.68,test
COC(C)(C)C,-0.24,train
COc1ccc(C=CC)cc1,-3.13,train
CCCCCCCCCCCCCCCCO,-7.0,train
O=c1cc[nH]c(=O)[nH]1 ,-1.4880000000000002,train
Nc1ncnc2nc[nH]c12 ,-2.12,val
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21,train
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596,test
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23,test
O=C(Nc1ccccc1)Nc2ccccc2,-3.15,test
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322,train
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,-6.29,train
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,train
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,val
CCC(C)(C)CO,-1.04,train
CCCOC(=O)CCC,-1.75,train
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22,train
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,train
C1CCCCCC1,-3.51,train
CCCOC=O,-0.49,train
CC(C)c1ccccc1C,-3.76,train
Nc1cccc(Cl)c1,-1.37,train
CC(C)CC(C)C,-4.26,train
o1c2ccccc2c3ccccc13,-4.6,test
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,train
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43,train
c3ccc2nc1ccccc1cc2c3,-3.67,train
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11,train
OCC1OC(O)C(O)C(O)C1O,0.74,train
Cc1cccc(O)c1,-0.68,train
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,-3.5860000000000003,test
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005,test
O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,train
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696,test
CCCCCCCCCC(=O)OCC,-4.1,train
CN(C)C(=O)Nc1ccccc1,-1.6,train
CCCOCC,-0.66,train
CC(C)O,0.43,train
Cc1ccc2ccccc2c1,-3.77,train
ClC(Br)Br,-1.9,train
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43,train
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,train
ClCc1ccccc1,-2.39,train
C/C=C/C=O,0.32,train
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,train
Cc1c2ccccc2c(C)c3ccccc13,-6.57,train
CCCCCC(=O)OC,-1.87,train
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328,val
CC(=O)Nc1ccc(F)cc1,-1.78,train
CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26,train
C1CCC=CC1,-2.59,train
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09,train
c1cncnc1,1.1,train
Clc1ccc(cc1)N(=O)=O,-2.92,train
CCC(=O)OC,-0.14,train
Clc1ccccc1N(=O)=O,-2.55,train
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,train
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877,test
O=N(=O)c1ccccc1,-1.8,train
Ic1ccccc1,-3.01,train
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78,test
COc1ccccc1OCC(O)COC(N)=O,-0.985,train
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.19,train
Oc1cccc(Cl)c1Cl,-1.3,train
CCCC(=O)OC,-1.92,train
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,train
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404,test
CCCCCC(=O)OCC,-2.35,train
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,-1.84,test
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47,test
COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478,train
CCCCCCC=C,-4.44,train
Cc1ccc(N)cc1,-1.21,train
Nc1nccs1 ,-0.36,test
c1ccccc1(OC(=O)NC),-1.803,train
CCCC(O)CC,-0.8,train
c3ccc2c(O)c1ccccc1cc2c3 ,-4.73,train
Cc1ccc2cc3ccccc3cc2c1,-6.96,train
Cc1cccc(C)c1C,-3.2,train
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,train
CCCCCCCC(C)O,-2.74,train
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35,test
CCCC(=O)CC,-0.83,train
Oc1c(Br)cc(C#N)cc1Br ,-3.33,train
Clc1ccc(cc1Cl)c2ccccc2 ,-6.39,train
CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873,test
Oc1cccc2ncccc12 ,-2.54,train
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14,test
CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81,train
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28,train
ClCBr,-0.89,train
CCC1(CC)C(=O)NC(=O)N(C)C1=O ,-2.23,train
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.63,train
NC(=O)NCc1ccccc1 ,-0.95,train
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483,train
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,train
OC1CCCCCC1,-0.88,train
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,-2.154,train
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,-3.36,val
CC(=O)Nc1nnc(s1)S(N)(=O)=O ,-2.36,test
Oc1ccc(cc1)N(=O)=O,-0.74,train
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307,test
C1CCOC1,0.49,train
Nc1ccccc1N(=O)=O,-1.96,train
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28,train
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,-3.81,train
Cc1c(cccc1N(=O)=O)N(=O)=O,-3.0,train
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,train
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005,train
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,-5.4,test
c1(Br)c(Br)cc(Br)cc1,-4.5,train
OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,-3.952,train
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356,train
c1(O)c(C)ccc(C(C)C)c1,-2.08,train
C1SC(=S)NC1(=O),-1.77,test
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,-3.083,test
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259,test
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86,train
C1CCCCC1,-3.1,train
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278,test
CN(C)C=Nc1ccc(Cl)cc1C,-2.86,train
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24,test
CCCCCCCCO,-2.39,train
CCSCC,-1.34,train
ClCCCl,-1.06,train
CCC(C)(C)Cl,-2.51,train
ClCCBr,-1.32,train
Nc1ccc(cc1)N(=O)=O,-2.37,train
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244,test
CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,-2.86,train
Clc1ccccc1,-2.38,train
CCCCCCCC=C,-5.05,train
Brc1ccc(I)cc1,-4.56,train
CCC(C)(O)CC,-0.36,train
CCCCCc1ccccc1,-4.64,train
NC(=O)NC1NC(=O)NC1=O ,-1.6,train
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001,test
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-7.2,train
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.184,train
Clc1cccc2ccccc12,-3.93,train
CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,-4.749,test
CCCCC(C)O,-0.89,train
CCCC1CCCC1,-4.74,train
