smiles,freesolv,split
CC(=C)C=C,0.68,train
Cc1ccc(cc1)C(C)C,-0.68,train
Cn1ccnc1,-8.41,test
C(CO)O,-9.3,train
c1ccc(c(c1)Cl)Cl,-1.36,train
c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83,val
CCCOC=O,-2.48,train
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1,val
CCCCCC(=O)O,-6.21,train
CCOC(=O)CCC(=O)OCC,-5.71,train
Cc1ccnc(c1)C,-4.86,test
C1CCC=CC1,0.14,test
CN1CCN(CC1)C,-7.58,test
c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,test
C1=CC(=O)C=CC1=O,-6.5,train
COC(=O)CCl,-4.0,train
CCCC=O,-3.18,train
CCc1ccccc1,-0.79,train
C(=C(Cl)Cl)Cl,-0.44,train
CCN(CC)CC,-3.22,train
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15,val
Cc1ccncc1C,-5.22,test
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06,train
c1ccc(cc1)C=O,-4.02,train
c1ccnc(c1)Cl,-4.39,test
C=CCCl,-0.57,train
Cc1ccc(cc1)C(=O)C,-4.7,train
C=O,-2.75,train
Cc1ccccc1Cl,-1.14,train
CC(=O)N1CCCC1,-9.8,train
CC(OC)(OC)OC,-4.42,train
CCCCc1ccccc1,-0.4,train
CN(C)c1ccccc1,-3.45,train
CC(C)OC,-2.01,train
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53,val
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98,test
C(C(Cl)Cl)Cl,-1.99,train
CNc1ccccc1,-4.69,train
CC(C)OC(=O)C,-2.64,train
c1ccccc1,-0.9,train
c1cc(c(c(c1)Cl)Cl)Cl,-1.24,train
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5,train
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03,test
c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05,val
CC(=C)C(=C)C,0.4,train
CCCCC=C,1.58,train
S,-0.7,train
CCOCC,-1.59,train
CCNc1nc(nc(n1)SC)NC(C)C,-7.65,val
CCCCOC(=O)c1ccc(cc1)O,-8.72,train
CCCCCCOC(=O)C,-2.26,train
C1CCC(=O)C1,-4.7,test
CCCCC(=O)O,-6.16,train
CCBr,-0.74,train
Cc1ccc2cc(ccc2c1)C,-2.63,train
CCCCCCO,-4.4,train
c1ccc(cc1)c2ccccc2Cl,-2.69,test
CC1=CCCCC1,0.67,test
CCCCCCO[N+](=O)[O-],-1.66,train
C(Br)(Br)Br,-2.13,train
CCc1ccc(cc1)O,-6.13,train
CCCOCCO,-6.4,train
c1ccc(cc1)OC=O,-3.82,train
c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72,val
CCCC(=O)O,-6.35,train
COC(C(F)(F)F)(OC)OC,-0.8,train
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52,test
C(F)(F)(F)Br,1.79,train
CCCCO,-4.72,train
c1ccc(cc1)F,-0.8,train
CCOC(=O)C,-2.94,train
CC(C)COC(=O)C(C)C,-1.69,train
CC(C)(C)OC,-2.21,train
C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55,test
CCC(=O)CC,-3.41,train
COC(=O)C(F)(F)F,-1.1,train
c1ccc2ccccc2c1,-2.4,train
c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4,test
CC(=O)Oc1ccccc1C(=O)O,-9.94,train
CC(=O)C(C)(C)C,-3.11,train
COS(=O)(=O)C,-4.87,train
CCc1ccncc1,-4.73,test
CC(C)NC(C)C,-3.22,train
c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67,val
CCCCCCCN,-3.79,train
CC1CCCC1,1.59,train
CCC,2.0,train
C[C@H]1CCCO1,-3.3,val
CNC(=O)Oc1cccc2c1cccc2,-9.45,train
c1cc(cc(c1)O)C=O,-9.52,train
c1ccc2cc3ccccc3cc2c1,-3.95,val
C(Cl)Cl,-1.31,train
CC(C)(C)C(=O)OC,-2.4,train
C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45,train
C1CC[S+2](C1)([O-])[O-],-8.61,val
Cc1cccc(c1O)C,-5.26,train
Cc1cccc(c1)O,-5.49,train
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53,val
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85,val
CCCCCCCC(=O)C,-2.49,train
CCCCN,-4.24,train
CCCC(=O)OCC,-2.49,train
Cc1ccc(cc1)N,-5.57,train
CCCCCCI,0.08,train
C(C(F)(Cl)Cl)(F)(F)Cl,1.77,train
COP(=O)(OC)OC,-8.7,train
c1cc(cc(c1)Cl)Cl,-0.98,train
Cc1cc(c2ccccc2c1)C,-2.47,train
CCCC(C)C,2.51,train
CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04,test
C(C(F)(F)F)Cl,0.06,train
C=C,1.28,train
CCCCCI,-0.14,train
COC(OC)OC,-4.42,train
CCCCCCCCCC,3.16,train
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95,train
CC=C,1.32,train
Cc1c[nH]c2c1cccc2,-5.88,test
COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74,train
C1CCCCC1,1.23,val
CC(=CCC/C(=C/CO)/C)C,-4.45,train
CC(C)c1ccccc1,-0.3,train
CC(C)C(C)C(C)C,2.56,train
CC(C)C(=O)C,-3.24,train
CCCCNCCCC,-3.24,train
CCCCS,-0.99,train
c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81,val
COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68,train
C1CCC(CC1)N,-4.59,val
C(F)(F)Cl,-0.5,train
COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88,train
CC(=O)c1cccnc1,-8.26,test
CC#C,-0.48,train
CCCCCCCCC=O,-2.07,train
CCC(=O)O,-6.46,train
C(Cl)(Cl)Cl,-1.08,train
Cc1cccc(c1C)C,-1.21,train
C,2.0,train
c1ccc(cc1)CCl,-1.93,train
CC1CCCCC1,1.7,val
Cc1cccs1,-1.38,val
c1ccncc1,-4.69,test
CCCCCl,-0.16,train
C[C@H]1CC[C@@H](O1)C,-2.92,val
Cc1ccc(c(c1)OC)O,-5.8,train
C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44,val
Cc1ccccc1,-0.9,train
CC(C)COC=O,-2.22,train
CCOC(=O)c1ccc(cc1)O,-9.2,train
CCOCCOCC,-3.54,train
CCCCCOC(=O)CC,-2.11,train
CCCc1ccc(cc1)O,-5.21,train
CC=C(C)C,1.31,train
C(CCl)Cl,-1.79,train
CCC(C)(C)CC,2.56,train
Cc1cc2ccccc2cc1C,-2.78,train
Cc1cccc(n1)C,-4.59,test
COC(C(Cl)Cl)(F)F,-1.12,train
CCOCCOC(=O)C,-5.31,train
COc1cccc(c1)N,-7.29,train
c1cc(cnc1)C=O,-7.1,test
CCC(C)(C)O,-4.43,train
CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21,train
Cn1cccc1,-2.89,val
COCOC,-2.93,train
CCC(CC)O,-4.35,train
CCCCCCCCCC(=O)C,-2.15,train
C(CBr)Cl,-1.95,train
c1ccc(cc1)I,-1.74,train
CC1=CC(=O)CC(C1)(C)C,-5.18,train
CCI,-0.74,train
CCCc1ccc(c(c1)OC)O,-5.26,train
CC(C)Br,-0.48,train
Cc1ccc(cc1)Br,-1.39,train
c1cc(ccc1C#N)O,-10.17,train
CS(=O)(=O)C,-10.08,train
CCc1cccc(c1)O,-6.25,train
CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44,test
c1cc(ccc1Br)Br,-2.3,train
COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86,train
CC/C=C\C,1.31,train
CC,1.83,train
COc1ccccc1OC,-5.33,train
CCSCC,-1.46,train
c1cc(cnc1)C#N,-6.75,test
c1cc(c(cc1O)Cl)Cl,-7.29,train
COc1ccccc1,-2.45,train
Cc1ccc(c(c1)O)C,-5.91,train
c1cc(ccc1Cl)Cl,-1.01,train
C(F)Cl,-0.77,train
CCCC=C,1.68,train
c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34,train
CCCCCC#C,0.6,train
CCCCCCCCC(=O)C,-2.34,train
c1ccc(cc1)Cl,-1.12,train
CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34,val
CCCCC=O,-3.03,train
c1ccc(cc1)Oc2ccccc2,-2.87,val
C1CCC(=O)CC1,-4.91,train
CCCC[N+](=O)[O-],-3.09,train
c1cnccc1C=O,-7.0,test
C(CCl)OCCCl,-4.23,train
CC[N+](=O)[O-],-3.71,train
c1cc(cnc1)Cl,-4.01,test
CBr,-0.82,train
CO,-5.1,train
CCCCCCC=O,-2.67,train
c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28,test
c1ccc(c(c1)N)[N+](=O)[O-],-7.37,train
CN1CCCCC1,-3.88,train
CCCCCCCC=O,-2.29,train
c1ccc(cc1)[N+](=O)[O-],-4.12,train
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53,train
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47,test
CF,-0.22,train
CS(=O)C,-9.28,train
c1ccc2c(c1)Oc3ccccc3O2,-3.15,val
Cc1ccccc1N,-5.53,train
CCCCBr,-0.4,train
CCCCCCCCCO,-3.88,train
Cc1ccncc1,-4.93,test
C(=C(Cl)Cl)(Cl)Cl,0.1,train
CC(C)(C)Br,0.84,train
C=C(c1ccccc1)c2ccccc2,-2.78,test
CCc1ccc(cc1)C,-0.95,train
Cc1cccnc1,-4.77,test
COCC(OC)(OC)OC,-5.73,train
c1ccc-2c(c1)Cc3c2cccc3,-3.35,train
CC(=O)N,-9.71,train
COS(=O)(=O)OC,-5.1,train
C(C(Cl)Cl)(Cl)Cl,-2.37,train
COC(=O)C1CCCCC1,-3.3,val
CCCCCCBr,0.18,train
CCCCCCCBr,0.34,train
c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52,val
COC(CC#N)(OC)OC,-6.4,train
CC[C@H](C)Cl,0.0,train
CCCCCCc1ccccc1,-0.04,train
COc1cc(c(c(c1O)OC)Cl)C=O,-7.78,train
c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07,train
c1ccc(cc1)Cn2ccnc2,-7.63,val
c1ccc2c(c1)cccc2N,-7.28,train
CCOC(=O)CC(=O)OCC,-6.0,train
CC(=O)C1CC1,-4.61,train
c1cc[nH]c1,-4.78,val
c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4,test
CC1CCC(CC1)C,2.11,val
C1CCC(CC1)O,-5.46,val
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43,test
c1cc(ccc1O)F,-6.19,train
c1ccc(c(c1)N)Cl,-4.91,train
Cc1ccc(c(c1)C)C,-0.86,train
CCc1ccccc1C,-0.85,train
C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75,train
c1ccc(cc1)c2ccccc2,-2.7,test
Cc1cccc(c1C)O,-6.16,train
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19,train
CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74,train
CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66,train
CSC,-1.61,train
C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-10.78,train
C1CCC(C1)O,-5.49,train
CCCCC(=O)OC,-2.56,train
CCCC(=C)C,1.47,train
C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42,test
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98,train
C=CCl,-0.59,train
Cc1ccc(cc1)C(=O)N(C)C,-9.76,train
CCCC(=O)CCC,-2.92,train
COC(=O)c1ccccc1,-3.92,train
Cc1ccc(cc1)C=O,-4.27,train
CCCC(=O)OCCC,-2.28,train
C1CNCCN1,-7.4,test
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74,test
CCOCCO,-6.69,train
CCC(C)CC,2.51,train
Cc1cnccn1,-5.51,val
CCC[N+](=O)[O-],-3.34,train
Cc1cc(cc(c1)C)C,-0.9,train
c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92,val
CCO,-5.0,train
Cc1ccc(c2c1cccc2)C,-2.82,train
c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37,val
c1cc(c(c(c1)Cl)C#N)Cl,-4.71,train
CCOC=O,-2.56,train
c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34,train
CCOC(OCC)Oc1ccccc1,-5.23,train
c1cc(cc(c1)O)[N+](=O)[O-],-9.62,train
CCCCCCCCO,-4.09,train
CCC=C,1.38,train
C(Cl)(Cl)(Cl)Cl,0.08,train
c1ccc(cc1)CCO,-6.79,train
CN(C)C(=O)Nc1ccccc1,-9.13,train
CSSC,-1.83,train
C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01,val
CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84,train
COC,-1.91,train
CCCCCC,2.48,train
C(CBr)Br,-2.33,train
C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23,train
c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46,val
Cc1cccc(c1N)C,-5.21,train
CCCOC(=O)C,-2.79,train
c1ccc2c(c1)cccn2,-5.72,val
CCS,-1.14,train
CCSSCC,-1.64,train
c1ccsc1,-1.4,val
CCc1cccc2c1cccc2,-2.4,train
CCCC(=O)C,-3.52,train
c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61,test
CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45,train
CC(=O)O,-6.69,train
CC=O,-3.5,train
c1cc(cc(c1)[N+](=O)[O-])N,-8.84,train
CCCCC#C,0.29,train
COc1ccccc1N,-6.12,train
c1ccc(cc1)O,-6.6,train
CCC#N,-3.84,train
c1ccc2c(c1)cccc2O,-7.67,train
CCCCOC(=O)C,-2.64,train
CC(C)(/C=N\OC(=O)NC)SC,-9.84,train
Cc1ccccc1O,-5.9,train
CC(C)C=O,-2.86,train
CCC(=O)N,-9.4,train
CCCBr,-0.56,train
CC(C)Cl,-0.25,train
C(CCl)CCl,-1.89,train
c1cc(ccc1[N+](=O)[O-])O,-10.64,train
C[C@@H](CCl)Cl,-1.27,train
c1cc(ccc1N)Cl,-5.9,train
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44,val
Cc1cccnc1C,-4.82,test
c1cnccc1C#N,-6.02,test
CCOP(=S)(OCC)SCSCC,-4.37,train
CC(=O)C1CCCCC1,-3.9,val
Cc1ccccc1C=O,-3.93,train
CC(=O)c1ccncc1,-7.62,test
c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71,val
CC(=O)C,-3.8,train
CC(=C)C,1.16,train
c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61,test
CCCCC[N+](=O)[O-],-2.82,train
CCC/C=C/C=O,-3.68,train
CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95,train
C1CCOC1,-3.47,val
CCCCCCCC,2.88,train
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.25,train
CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49,train
C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29,train
CC(C)OC(C)C,-0.53,train
CCCCC(C)C,2.93,train
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22,train
[C@@H](C(F)(F)F)(Cl)Br,-0.11,train
CCCCOCCCC,-0.83,train
CCCCCC1CCCC1,2.55,train
CC(C)CC(C)C,2.83,train
Cc1ccc(nc1)C,-4.72,test
C/C=C/C=O,-4.22,train
CCC[C@H](C)CC,2.71,train
c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96,test
c1ccc(cc1)O[C@@H](C(F)F)F,-1.29,train
COCCOC,-4.84,train
CC[C@H](C)c1ccccc1,-0.45,train
c1ccc(cc1)CCCO,-6.92,train
CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23,train
COc1ccc(cc1)C(=O)OC,-5.33,train
CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78,train
C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21,train
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43,val
CC(C)CCOC(=O)C,-2.21,train
CCCCCCCl,0.0,train
CC(C)CC(=O)C,-3.05,train
CCCCCC=O,-2.81,train
c1cc(cc(c1)Cl)N,-5.82,train
C1COCCN1,-7.17,val
CCOC(C)OCC,-3.28,train
CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51,train
CS,-1.2,train
C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23,test
CC(=O)c1ccc(cc1)OC,-4.4,train
C=CCO,-5.03,train
CCSC,-1.5,train
CCCCCOC(=O)C,-2.51,train
c1c(cc(c(c1Cl)Cl)Cl)Cl,-1.62,train
CC(=O)c1ccccc1,-4.58,train
CCCl,-0.63,train
CCCC1CCCC1,2.13,train
c1c(cc(cc1Cl)Cl)Cl,-0.78,train
CCCOC(=O)c1ccc(cc1)O,-9.37,train
c1cc(cc(c1)Cl)O,-6.62,train
CC(C)CCO,-4.42,train
CCCCCN,-4.09,train
Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14,val
CC(C)CCC(C)(C)C,2.93,train
CCCCOCCO,-6.25,train
C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82,test
c1ccc(cc1)C(=O)N,-11.0,train
CC(C)[N+](=O)[O-],-3.13,train
C(C(CO)O)O,-13.43,train
CCCI,-0.53,train
COCCN,-6.55,train
C(C(Cl)(Cl)Cl)Cl,-1.43,train
CCC(=O)OC,-2.93,train
C1CCCC1,1.2,train
CCc1cccnc1,-4.59,test
Cc1cc(cnc1)C,-4.84,test
COCCO,-6.619999999999999,train
COC=O,-2.78,train
c1ccc2cc(ccc2c1)N,-7.47,train
Cc1c[nH]cn1,-10.27,test
Cc1cccc(c1)[N+](=O)[O-],-3.45,train
C(CCCl)CCl,-2.32,train
CC(=O)CO[N+](=O)[O-],-5.99,train
CC(C)(C)c1ccccc1,-0.44,train
CCCCCC(=O)OC,-2.49,train
C[C@@H](C(F)(F)F)O,-4.16,train
CCCCCBr,-0.1,train
CCCCCCC=C,1.92,train
CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51,train
CC(C)O,-4.74,train
CCCCCCN,-3.95,train
C(CO[N+](=O)[O-])CO[N+](=O)[O-],-4.8,train
Cc1ccc(c(c1)C)O,-6.01,train
CCCCCO,-4.57,train
CCC[C@@H](C)O,-4.39,train
CCCC[C@@H](C)CC,2.97,train
C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,-7.0,train
CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15,train
Cc1ccc(cc1C)O,-6.5,train
Cc1cc(ccc1Cl)O,-6.79,train
CCCC/C=C/C,1.68,train
CCCOCCC,-1.16,train
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2,val
CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68,val
CC(C)CC(C)(C)C,2.89,train
CCCCC(=O)CCCC,-2.64,train
CCCCN(CC)C(=O)SCCC,-3.64,train
CCCCCC=C,1.66,train
CC(C)OC=O,-2.02,train
CC(OC(=O)C)OC(=O)C,-4.97,train
c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74,val
CC(=C)c1ccccc1,-1.24,train
CCC(C)C,2.38,train
CCCCO[N+](=O)[O-],-2.09,train
c1ccc(cc1)Br,-1.46,train
CC(Cl)(Cl)Cl,-0.19,train
CC(=C)[C@H]1CCC(=CC1)C=O,-4.09,test
Cc1ccccc1[N+](=O)[O-],-3.58,train
CCCCCCCI,0.27,train
